Country_1,Country_2,Delay,Pearson
Afghanistan,Albania,-0.0,50.39304257467947
Afghanistan,Algeria,-0.0,50.81288132537436
Afghanistan,Andorra,6.0,36.19401011798848
Afghanistan,Antigua and Barbuda,-0.0,43.20268678066856
Afghanistan,Argentina,-0.0,52.71283996722048
Afghanistan,Armenia,-0.0,48.52641717545495
Afghanistan,Aruba,-0.0,43.20268678066856
Afghanistan,Australia,-0.0,52.65267025365884
Afghanistan,Austria,-0.0,52.481442847150525
Afghanistan,Azerbaijan,-0.0,50.69447553815628
Afghanistan,Bahrain,-0.0,49.95570227163724
Afghanistan,Bangladesh,-0.0,50.23198247704393
Afghanistan,Belarus,-0.0,49.80223899262382
Afghanistan,Belgium,-0.0,52.61792797361241
Afghanistan,Bhutan,2.0,42.21669595829351
Afghanistan,Bolivia,-0.0,48.09685983852661
Afghanistan,Bosnia and Herzegovina,-0.0,52.49564677300823
Afghanistan,Brazil,-0.0,49.63692264238027
Afghanistan,Brunei,-0.0,48.67163368613144
Afghanistan,Bulgaria,-0.0,49.73690592380639
Afghanistan,Burkina Faso,-0.0,50.64860620410896
Afghanistan,Cambodia,-0.0,50.71146743352956
Afghanistan,Cameroon,-0.0,45.67366004976574
Afghanistan,Canada,-0.0,52.34790207582934
Afghanistan,Cayman Islands,-0.0,43.20268678066856
Afghanistan,Central African Republic,-0.0,35.928749181303424
Afghanistan,Chile,-0.0,52.006056830748335
Afghanistan,China,11.0,24.539213913276363
Afghanistan,Colombia,-0.0,51.27658402053482
Afghanistan,Congo (Brazzaville),-0.0,35.928749181303424
Afghanistan,Congo (Kinshasa),-0.0,48.281248592203454
Afghanistan,Costa Rica,-0.0,51.32535783406209
Afghanistan,Cote d'Ivoire,-0.0,47.00174196491752
Afghanistan,Croatia,-0.0,51.844241149019275
Afghanistan,Cruise Ship,10.0,27.62629563129939
Afghanistan,Cuba,-0.0,45.6721727704608
Afghanistan,Curacao,-0.0,42.53119326131525
Afghanistan,Cyprus,-0.0,49.743378198899265
Afghanistan,Czechia,-0.0,52.611124561610794
Afghanistan,Denmark,-0.0,50.54471194373333
Afghanistan,Dominican Republic,-0.0,52.07838979791248
Afghanistan,Ecuador,-0.0,48.25543138229643
Afghanistan,Egypt,-0.0,51.98528916327018
Afghanistan,Equatorial Guinea,-0.0,35.928749181303424
Afghanistan,Estonia,-0.0,49.067234723010884
Afghanistan,Eswatini,-0.0,42.53119326131525
Afghanistan,Ethiopia,-0.0,43.20268678066856
Afghanistan,Finland,-0.0,50.8276755237401
Afghanistan,France,-0.0,52.061034034189824
Afghanistan,Gabon,-0.0,42.53119326131525
Afghanistan,Georgia,-0.0,52.15670095816748
Afghanistan,Germany,-0.0,52.5985623654276
Afghanistan,Ghana,-0.0,43.03799022422905
Afghanistan,Greece,-0.0,52.69101754080542
Afghanistan,Guadeloupe,-0.0,44.33346949617281
Afghanistan,Guatemala,-0.0,42.53119326131525
Afghanistan,Guernsey,-0.0,42.53119326131525
Afghanistan,Guinea,-0.0,43.20268678066856
Afghanistan,Guyana,-0.0,45.42139165520122
Afghanistan,Holy See,2.0,42.21669595829351
Afghanistan,Honduras,-0.0,49.43228867026623
Afghanistan,Hungary,-0.0,52.742687983239165
Afghanistan,Iceland,-0.0,51.62153321616472
Afghanistan,India,-0.0,51.44610730470198
Afghanistan,Indonesia,-0.0,51.916145251134395
Afghanistan,Iran,-0.0,50.274475930032075
Afghanistan,Iraq,-0.0,49.41029716120573
Afghanistan,Ireland,-0.0,51.43537182133957
Afghanistan,Israel,-0.0,53.07461788193461
Afghanistan,Italy,-0.0,52.543539135169205
Afghanistan,Jamaica,-0.0,47.06888466066442
Afghanistan,Japan,-0.0,47.45509497862847
Afghanistan,Jersey,-0.0,42.53119326131525
Afghanistan,Jordan,-0.0,44.23996986507167
Afghanistan,Kazakhstan,-0.0,45.88625965460838
Afghanistan,Kenya,-0.0,44.33346949617281
Afghanistan,Korea South,-0.0,41.24280873287744
Afghanistan,Kosovo,-0.0,35.928749181303424
Afghanistan,Kuwait,-0.0,44.493893311222564
Afghanistan,Latvia,-0.0,52.357602326390236
Afghanistan,Lebanon,-0.0,52.67440429404837
Afghanistan,Liechtenstein,-0.0,49.20154041234245
Afghanistan,Lithuania,-0.0,51.35100103742566
Afghanistan,Luxembourg,-0.0,49.97909873576796
Afghanistan,Malaysia,-0.0,52.69558135569399
Afghanistan,Maldives,-0.0,52.483135217167614
Afghanistan,Malta,-0.0,51.92764545625039
Afghanistan,Martinique,-0.0,51.54198162470542
Afghanistan,Mauritania,-0.0,42.53119326131525
Afghanistan,Mexico,-0.0,51.54888430014896
Afghanistan,Moldova,-0.0,49.69739865075269
Afghanistan,Monaco,-0.0,44.282833964092475
Afghanistan,Mongolia,-0.0,47.17511789195975
Afghanistan,Morocco,-0.0,50.83204290855025
Afghanistan,Namibia,-0.0,42.53119326131525
Afghanistan,Nepal,30.0,9.243697543323552
Afghanistan,Netherlands,-0.0,52.679128317374946
Afghanistan,New Zealand,-0.0,46.71457906520414
Afghanistan,Nigeria,-0.0,43.79700606997237
Afghanistan,North Macedonia,-0.0,50.88064844295132
Afghanistan,Norway,-0.0,51.96051840511923
Afghanistan,Oman,-0.0,42.56546168169201
Afghanistan,Pakistan,-0.0,52.85996022200588
Afghanistan,Panama,-0.0,49.09612623824844
Afghanistan,Paraguay,-0.0,49.71465753522142
Afghanistan,Peru,-0.0,51.82576918370696
Afghanistan,Philippines,-0.0,52.61141795820577
Afghanistan,Poland,-0.0,51.950455754024354
Afghanistan,Portugal,-0.0,52.13778709244829
Afghanistan,Qatar,-0.0,50.134704496822735
Afghanistan,Reunion,-0.0,47.483615186237216
Afghanistan,Romania,-0.0,51.70969712540827
Afghanistan,Russia,-0.0,51.879848804612664
Afghanistan,Rwanda,-0.0,42.53119326131525
Afghanistan,Saint Lucia,-0.0,43.03799022422905
Afghanistan,Saint Vincent and the Grenadines,-0.0,42.53119326131525
Afghanistan,San Marino,-0.0,51.66026471222912
Afghanistan,Saudi Arabia,-0.0,50.186188787870265
Afghanistan,Senegal,-0.0,49.73653815373511
